
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 34 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  14.02.2026 13:40:06.500

TimeStamp, nmot_w    , wped_w    , wdkba     , rl_w      , rlsol_w   , plsol_w   , pvdkds_w  , ps_w      , pus_w     , ldtvr_w   , ldtvm     , zwout     , dwkrz_0   , dwkrz_2   , dwkrz_3   , dwkrz_1   , lamsbg_w  , lamsoni_w , tans      , msdk_w    , mshfm_w   
    0.400, 2376      , 0         , 3.92157   , 14.3906   , 14.25     , 985.273   , 997.969   , 241.133   , 985.273   , 0         , 0         , 5.25      , 0         , 0         , 0         , 0         , 0.968751  , 0.925539  , 15.75     , 6.44445   , 6.41667   
    0.450, 2355.25   , 0         , 3.92157   , 14.3906   , 14.25     , 985.273   , 1000.59   , 240.781   , 985.273   , 0         , 0         , 3.75      , 0         , 0         , 0         , 0         , 0.968751  , 0.927736  , 15.75     , 6.44445   , 6.44445   
    0.500, 2352      , 0         , 3.92157   , 14.3672   , 14.25     , 985.273   , 1000.59   , 240.391   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.924318  , 15.75     , 6.44445   , 6.27778   
    0.550, 2334.75   , 0         , 3.92157   , 14.3438   , 14.25     , 985.273   , 997.969   , 239.727   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.919923  , 16.5      , 6.38889   , 5.91667   
    0.600, 2318      , 0         , 3.92157   , 14.4844   , 14.25     , 985.273   , 997.969   , 241.367   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.922121  , 16.5      , 6.33334   , 6.47223   
    0.650, 2319      , 0         , 3.92157   , 14.4375   , 14.25     , 985.273   , 1000.59   , 240.898   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.934328  , 16.5      , 6.27778   , 6.38889   
    0.700, 2320      , 0         , 3.92157   , 14.4375   , 14.25     , 985.273   , 997.969   , 240.742   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.966066  , 16.5      , 6.22223   , 6.33334   
    0.750, 2295.75   , 0         , 3.92157   , 14.2734   , 14.25     , 985.273   , 1000.59   , 238.906   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.986085  , 16.5      , 6.25      , 5.86112   
    0.800, 2286.75   , 0         , 3.92157   , 14.2734   , 14.25     , 985.273   , 997.969   , 238.672   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.983644  , 16.5      , 6.19445   , 6.25      
    0.850, 2277.25   , 0         , 3.52941   , 14.25     , 14.25     , 985.273   , 997.969   , 238.164   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.938722  , 16.5      , 6.08334   , 6.16667   
    0.900, 2276      , 0         , 3.52941   , 14.2734   , 14.25     , 985.273   , 997.969   , 238.203   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.939943  , 16.5      , 6.08334   , 6.11112   
    0.950, 2259.75   , 0         , 3.52941   , 14.3438   , 14.25     , 985.273   , 997.969   , 239.063   , 985.273   , 0         , 0         , 3         , 0         , 0         , 0         , 0         , 0.968751  , 0.957277  , 16.5      , 6.11112   , 6.05556   
    1.000, 2254.5    , 0         , 3.52941   , 14.4844   , 14.25     , 985.273   , 997.969   , 240.781   , 985.273   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 0.968751  , 0.963625  , 16.5      , 6.05556   , 6.30556   
    1.050, 2249.25   , 0         , 3.52941   , 14.3203   , 14.25     , 985.234   , 997.969   , 238.516   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 0.968751  , 0.956056  , 16.5      , 6         , 5.91667   
    1.100, 2244.5    , 0         , 3.52941   , 14.1797   , 14.25     , 985.234   , 997.969   , 236.563   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 0.968751  , 0.964845  , 16.5      , 6         , 5.88889   
    1.150, 2226      , 0         , 3.52941   , 14.1563   , 14.25     , 985.234   , 997.969   , 236.055   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 0.978517  , 16.5      , 5.97223   , 6.25      
    1.200, 2228.5    , 0         , 3.52941   , 14.1094   , 14.25     , 985.234   , 997.969   , 235.234   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 0.967287  , 16.5      , 5.97223   , 6.22223   
    1.250, 2212      , 0         , 3.52941   , 13.875    , 14.25     , 985.234   , 997.969   , 232.148   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 0.937501  , 16.5      , 5.94445   , 5.55556   
    1.300, 2184.5    , 0         , 3.52941   , 13.8984   , 14.25     , 985.234   , 997.969   , 231.953   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 0.880128  , 16.5      , 5.91667   , 5.77778   
    1.350, 2197.25   , 0         , 3.52941   , 13.9922   , 14.25     , 985.234   , 997.969   , 233.008   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 0.93213   , 17.25     , 5.88889   , 5.83334   
    1.400, 2196      , 0         , 3.52941   , 13.8984   , 14.25     , 985.234   , 997.969   , 232.07    , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 1.11743   , 17.25     , 5.86112   , 5.75      
    1.450, 2169.75   , 0         , 3.52941   , 13.875    , 14.25     , 985.234   , 997.969   , 231.797   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 1.47974   , 17.25     , 5.83334   , 5.86112   
    1.500, 2165.5    , 0         , 3.52941   , 14.0859   , 14.25     , 985.234   , 997.969   , 234.492   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 1.94678   , 17.25     , 5.77778   , 5.88889   
    1.550, 2170.75   , 0         , 3.52941   , 14.2031   , 14.25     , 985.234   , 997.969   , 235.977   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 2.41065   , 17.25     , 5.77778   , 5.97223   
    1.600, 2148      , 0         , 3.52941   , 14.2031   , 14.25     , 985.234   , 995.313   , 235.898   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 2.97999   , 17.25     , 5.80556   , 5.58334   
    1.650, 2129.25   , 0         , 3.52941   , 14.1328   , 14.25     , 985.234   , 997.969   , 234.453   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 3.59229   , 17.25     , 5.80556   , 5.80556   
    1.700, 2135.25   , 0         , 3.52941   , 14.1563   , 14.25     , 985.234   , 997.969   , 234.766   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 4.23316   , 17.25     , 5.77778   , 5.69445   
    1.750, 2121.75   , 0         , 3.13726   , 14.2734   , 14.25     , 985.234   , 995.313   , 236.289   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.72223   , 5.58334   
    1.800, 2108.5    , 0         , 3.13726   , 14.1797   , 14.25     , 985.234   , 997.969   , 234.766   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.69445   , 5.58334   
    1.850, 2106.5    , 0         , 3.13726   , 14.1094   , 14.25     , 985.234   , 995.313   , 234.258   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.66667   , 5.58334   
    1.900, 2098.5    , 0         , 3.13726   , 14.2031   , 14.25     , 985.234   , 995.313   , 235.43    , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.69445   , 5.69445   
    1.950, 2077.75   , 0         , 3.13726   , 14.3672   , 14.25     , 985.234   , 995.313   , 237.109   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.58334   , 5.66667   
    2.000, 2083.25   , 0         , 3.13726   , 14.2031   , 14.25     , 985.234   , 995.313   , 235.156   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.66667   , 5.63889   
    2.050, 2077.25   , 0         , 3.13726   , 14.1094   , 14.25     , 985.234   , 995.313   , 233.594   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.55556   , 5.44445   
    2.100, 2056.25   , 0         , 3.13726   , 14.2031   , 14.25     , 985.234   , 995.313   , 234.57    , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.55556   , 5.55556   
    2.150, 2054.25   , 0         , 3.13726   , 14.1563   , 14.25     , 985.234   , 995.313   , 233.984   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.55556   , 5.5       
    2.200, 2048.25   , 0         , 3.13726   , 14.1563   , 14.25     , 985.234   , 995.313   , 233.711   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.5       , 5.5       
    2.250, 2027.75   , 7.73326   , 3.13726   , 14.1563   , 14.25     , 985.234   , 995.313   , 233.555   , 985.234   , 0         , 0         , 2.25      , 0         , 0         , 0         , 0         , 1.04688   , 5.00001   , 17.25     , 5.44445   , 5.52778   
    2.300, 2030.5    , 52.877    , 4.31373   , 14.1797   , 34.7344   , 985.234   , 992.656   , 233.594   , 985.234   , 0         , 0         , 4.5       , 0         , 0         , 0         , 0         , 1         , 5.00001   , 17.25     , 7.27778   , 5.77778   
    2.350, 2065.25   , 99.9999   , 7.84314   , 18.4688   , 37.5469   , 985.234   , 990.039   , 291.641   , 985.234   , 0         , 0         , 0.75      , 0         , 0         , 0         , -1.5      , 1         , 5.00001   , 18        , 12.6111   , 12.2778   
    2.400, 2038.25   , 99.9999   , 9.01961   , 25.1016   , 62.3203   , 985.234   , 984.727   , 380       , 985.234   , 0         , 0         , 6         , 0         , 0         , 0         , -1.5      , 1         , 5.00001   , 18        , 14.8056   , 14.4445   
    2.450, 2034      , 99.9999   , 15.2941   , 35.0156   , 83.8594   , 1226.05   , 971.523   , 512.109   , 985.234   , 57.5      , 57.4219   , 29.25     , 0         , 0         , 0         , -1.5      , 1         , 4.79981   , 18        , 25.5556   , 25.1667   
    2.500, 2066.75   , 99.9999   , 19.6078   , 47.2734   , 84.4219   , 1234.84   , 963.594   , 676.68    , 985.234   , 81.165    , 80.8594   , 12.75     , 0         , 0         , 0         , -1.5      , 1         , 1.39282   , 18        , 33.3611   , 32.0556   
    2.550, 2058      , 99.9999   , 19.6078   , 57.5859   , 83.0156   , 1215.31   , 974.18    , 814.844   , 985.234   , 79.29     , 79.2969   , 20.25     , 0         , 0         , 0         , -1.5      , 0.958498  , 0.730714  , 18        , 28.1111   , 28.5      
    2.600, 2000.5    , 99.9999   , 20        , 60.7969   , 83.8125   , 1225.16   , 979.453   , 856.445   , 985.234   , 76.58     , 76.5625   , 21        , 0         , 0         , 0         , -1.5      , 0.958498  , 0.729982  , 18        , 25.4167   , 26.3889   
    2.650, 2000.5    , 99.9999   , 20.7843   , 62.9766   , 83.4844   , 1216.91   , 982.109   , 885.625   , 985.234   , 74.23     , 74.2188   , 18.75     , 0         , 0         , 0         , -1.5      , 0.945314  , 0.729982  , 18        , 25.75     , 26.2222   
    2.700, 2041.75   , 99.9999   , 20.7843   , 64.875    , 83.0391   , 1211.84   , 987.383   , 909.141   , 985.234   , 77.01     , 76.9531   , 11.25     , 0         , 0         , 0         , -1.5      , 0.945314  , 0.744142  , 18        , 25.5834   , 27.3056   
    2.750, 2018.25   , 99.9999   , 23.1373   , 66.4688   , 82.2422   , 1200.16   , 987.383   , 930.117   , 985.234   , 74.01     , 73.8281   , 18.75     , 0         , 0         , 0         , -1.5      , 0.93921   , 0.781007  , 18        , 28.6111   , 27.9722   
    2.800, 2032.75   , 99.9999   , 23.1373   , 68.2266   , 83.1797   , 1212.97   , 992.656   , 953.203   , 985.234   , 68.945    , 68.75     , 9.75      , 0         , 0         , 0         , -1.5      , 0.93921   , 0.801759  , 18        , 26.7222   , 27.7222   
    2.850, 2040.5    , 99.9999   , 24.3137   , 68.8594   , 82.875    , 1205.63   , 995.313   , 959.297   , 985.234   , 70.465    , 70.3125   , 9         , 0         , 0         , 0         , -1.5      , 0.933839  , 0.815675  , 18        , 29.0834   , 27.7222   
    2.900, 2035.75   , 99.9999   , 25.098    , 70.4063   , 82.9453   , 1205.98   , 997.969   , 979.375   , 985.234   , 68.875    , 68.75     , 12        , 0         , 0         , 0         , -1.5      , 0.933839  , 0.822999  , 18        , 26.7778   , 29.3334   
    2.950, 2041      , 99.9999   , 25.8824   , 71.2969   , 83.1328   , 1207.85   , 1003.24   , 990.703   , 985.234   , 65.815    , 65.625    , 11.25     , 0         , 0         , 0         , -1.5      , 0.928712  , 0.822999  , 18        , 28.6111   , 29.7778   
    3.000, 2049.75   , 99.9999   , 26.2745   , 71.9063   , 83.0625   , 1206.33   , 1008.52   , 998.203   , 985.234   , 65.245    , 65.2344   , 9.75      , 0         , 0         , 0         , -1.5      , 0.928712  , 0.82007   , 18        , 27.6945   , 29.2778   
    3.050, 2053.5    , 99.9999   , 26.6667   , 72.7969   , 83.1328   , 1206.48   , 1011.17   , 1009.34   , 985.234   , 62.815    , 62.8906   , 12.75     , 0         , 0         , 0         , -1.5      , 0.924318  , 0.815675  , 18        , 29.5556   , 29.7778   
    3.100, 2057.25   , 99.9999   , 27.0588   , 73.2656   , 83.4141   , 1209.77   , 1016.45   , 1014.84   , 985.234   , 62.745    , 62.5      , 13.5      , 0         , 0         , 0         , -1.5      , 0.924318  , 0.804445  , 18        , 30.0556   , 29.3334   
    3.150, 2067.25   , 99.9999   , 27.451    , 73.7578   , 83.5547   , 1208.16   , 1021.72   , 1018.59   , 985.195   , 62.745    , 62.5      , 18        , 0         , 0         , 0         , -1.5      , 0.920167  , 0.809083  , 18        , 30.4167   , 30.4445   
    3.200, 2077.75   , 99.9999   , 27.451    , 73.875    , 83.7656   , 1210.66   , 1024.38   , 1019.84   , 985.195   , 60.525    , 60.5469   , 16.5      , 0         , 0         , 0         , -1.5      , 0.920167  , 0.811036  , 18        , 30.3334   , 29.4167   
    3.250, 2073      , 99.9999   , 27.451    , 73.5703   , 83.3672   , 1204.41   , 1029.65   , 1015.2    , 985.195   , 60.385    , 60.1563   , 18        , 0         , 0         , 0         , -1.5      , 0.916505  , 0.817384  , 18        , 30.3611   , 28.6389   
    3.300, 2089.75   , 99.9999   , 27.0588   , 73.875    , 83.5547   , 1206.8    , 1032.3    , 1018.95   , 985.195   , 60.105    , 60.1563   , 18        , 0         , 0         , 0         , -1.5      , 0.916505  , 0.819337  , 18        , 30.0834   , 30.1389   
    3.350, 2101.5    , 99.9999   , 27.8431   , 74.1563   , 83.9531   , 1212.27   , 1034.92   , 1022.93   , 985.195   , 60.105    , 60.1563   , 18        , 0         , 0         , 0         , -1.5      , 0.913087  , 0.830324  , 18        , 30.8611   , 30.7222   
    3.400, 2102.5    , 99.9999   , 27.451    , 74.5078   , 84.2344   , 1215.86   , 1040.23   , 1027.03   , 985.195   , 60.735    , 60.5469   , 18        , 0         , 0         , 0         , -1.5      , 0.913087  , 0.850587  , 18        , 30.8889   , 30.1667   
    3.450, 2111      , 99.9999   , 27.451    , 74.8359   , 84.7031   , 1219.3    , 1042.85   , 1028.79   , 985.195   , 58.235    , 58.2031   , 18        , 0         , 0         , 0         , -1.5      , 0.910402  , 0.86255   , 18        , 30.9722   , 30.8056   
    3.500, 2117.5    , 99.9999   , 27.451    , 75.0703   , 84.8672   , 1221.37   , 1048.13   , 1031.84   , 985.195   , 58.52     , 58.5938   , 18        , 0         , 0         , 0         , -1.5      , 0.910402  , 0.87256   , 18        , 30.8889   , 30.7222   
    3.550, 2116.75   , 99.9999   , 27.451    , 75.3047   , 84.9609   , 1222.07   , 1053.44   , 1034.57   , 985.195   , 58.8      , 58.5938   , 15.75     , 0         , 0         , 0         , -1.5      , 0.90796   , 0.879152  , 18        , 31.1111   , 31.1945   
    3.600, 2130.75   , 99.9999   , 27.451    , 75.9609   , 85.1484   , 1224.49   , 1056.05   , 1042.77   , 985.195   , 59.01     , 58.9844   , 15.75     , 0         , 0         , 0         , -1.5      , 0.90796   , 0.880128  , 18        , 31.0278   , 31.8889   
    3.650, 2142.5    , 99.9999   , 27.8431   , 76.3359   , 85.0781   , 1223.55   , 1058.71   , 1047.62   , 985.195   , 59.01     , 58.9844   , 17.25     , 0         , 0         , 0         , -1.5      , 0.905763  , 0.88672   , 18        , 31.7222   , 32.0834   
    3.700, 2145      , 99.9999   , 27.8431   , 76.4766   , 84.9375   , 1221.52   , 1061.37   , 1049.65   , 985.195   , 54.22     , 54.2969   , 18.75     , 0         , 0         , 0         , -1.5      , 0.905763  , 0.887941  , 18        , 31.75     , 32.0834   
    3.750, 2156.75   , 99.9999   , 27.8431   , 76.7344   , 85.5938   , 1227.38   , 1066.64   , 1050.35   , 985.195   , 56.16     , 55.8594   , 18.75     , 0         , 0         , 0         , -1.5      , 0.903566  , 0.892335  , 18        , 31.8611   , 32.5      
    3.800, 2167.75   , 99.9999   , 27.8431   , 77.0391   , 85.6406   , 1227.85   , 1071.91   , 1054.06   , 985.195   , 56.93     , 56.6406   , 18.75     , 0         , 0         , 0         , -1.5      , 0.903566  , 0.892335  , 18        , 31.9167   , 32.9167   
    3.850, 2172      , 99.9999   , 28.6275   , 77.4609   , 85.6641   , 1227.97   , 1071.91   , 1059.38   , 985.195   , 54.01     , 53.9063   , 18.75     , 0         , 0         , 0         , -1.5      , 0.901613  , 0.898927  , 18        , 32.8611   , 32.9722   
    3.900, 2180.75   , 99.9999   , 28.2353   , 77.625    , 85.9219   , 1231.37   , 1074.57   , 1061.29   , 985.195   , 54.505    , 54.2969   , 18.75     , 0         , 0         , 0         , -1.5      , 0.901613  , 0.900148  , 18        , 32.7222   , 32.8056   
    3.950, 2190.25   , 99.9999   , 28.2353   , 77.7188   , 86.4609   , 1238.79   , 1077.19   , 1062.73   , 985.195   , 57.005    , 57.0313   , 18.75     , 0         , 0         , 0         , -1.5      , 0.900148  , 0.897706  , 18        , 32.7778   , 32.9167   
    4.000, 2200.25   , 99.9999   , 28.2353   , 78.2813   , 86.6484   , 1241.25   , 1082.5    , 1070.04   , 985.195   , 55.205    , 55.0781   , 18.75     , 0         , 0         , 0         , -1.5      , 0.900148  , 0.903322  , 18        , 32.9445   , 34        
    4.050, 2206.5    , 99.9999   , 28.2353   , 78.1641   , 86.9766   , 1245.66   , 1085.12   , 1068.24   , 985.195   , 57.845    , 57.8125   , 18.75     , 0         , 0         , 0         , -1.5      , 0.898927  , 0.902345  , 18        , 33.0834   , 32.9722   
    4.100, 2223      , 99.9999   , 28.6275   , 78.3281   , 87.1875   , 1248.48   , 1087.77   , 1070.35   , 985.195   , 58.055    , 57.8125   , 17.25     , 0         , 0         , 0         , -1.5      , 0.898927  , 0.89673   , 18        , 33.6111   , 34.0834   
    4.150, 2229.75   , 99.9999   , 28.6275   , 78.5156   , 87.8203   , 1256.8    , 1090.39   , 1072.77   , 985.195   , 58.41     , 58.2031   , 16.5      , 0         , 0         , 0         , -1.5      , 0.898195  , 0.901124  , 18        , 33.6667   , 33.9445   
    4.200, 2237.5    , 99.9999   , 28.6275   , 78.3281   , 88.0781   , 1259.92   , 1093.05   , 1070.27   , 985.195   , 59.04     , 58.9844   , 16.5      , 0         , 0         , 0         , -1.5      , 0.898195  , 0.897706  , 18        , 33.6945   , 33.1389   
    4.250, 2252.75   , 99.9999   , 28.6275   , 78.7031   , 88.3828   , 1261.21   , 1095.7    , 1072.77   , 985.195   , 59.255    , 58.9844   , 16.5      , 0         , 0         , 0         , -1.5      , 0.897462  , 0.89673   , 18        , 34.0834   , 34.4445   
    4.300, 2255.25   , 99.9999   , 29.4118   , 78.8672   , 88.5703   , 1263.87   , 1095.7    , 1075.2    , 985.195   , 62.035    , 62.1094   , 18        , 0         , 0         , 0         , -1.5      , 0.897462  , 0.903322  , 18        , 34.6389   , 34.1111   
    4.350, 2262.5    , 99.9999   , 29.4118   , 79.2656   , 88.8516   , 1267.38   , 1098.32   , 1079.96   , 985.195   , 59.605    , 59.375    , 18        , 0         , 0         , 0         , -1.5      , 0.896486  , 0.90674   , 18        , 34.7222   , 34.3056   
    4.400, 2277.75   , 99.9999   , 29.4118   , 79.0078   , 89.1094   , 1271.05   , 1100.98   , 1076.8    , 985.195   , 59.885    , 59.7656   , 18.75     , 0         , 0         , 0         , -1.5      , 0.896486  , 0.90674   , 18        , 34.7222   , 33.9445   
    4.450, 2280.25   , 99.9999   , 29.4118   , 79.2891   , 89.1328   , 1271.09   , 1106.25   , 1080.43   , 985.195   , 58.755    , 58.5938   , 18.75     , 0         , 0         , 0         , -1.5      , 0.895753  , 0.905519  , 18        , 35.0556   , 35.4445   
    4.500, 2285.5    , 99.9999   , 29.8039   , 80.0625   , 89.5781   , 1276.95   , 1106.25   , 1090.27   , 985.195   , 58.8      , 58.5938   , 18.75     , 0         , 0         , 0         , -1.5      , 0.895753  , 0.904542  , 18        , 35.3334   , 35.9445   
    4.550, 2308.5    , 99.9999   , 29.8039   , 80.4609   , 89.7656   , 1279.57   , 1108.91   , 1095.59   , 985.195   , 58.87     , 58.5938   , 18        , 0         , 0         , 0         , -1.5      , 0.894777  , 0.911134  , 18        , 35.4723   , 35.8889   
    4.600, 2311.5    , 99.9999   , 29.8039   , 80.9063   , 89.8125   , 1280.08   , 1108.91   , 1101.21   , 985.195   , 56.79     , 56.6406   , 18        , 0         , 0         , 0         , -1.5      , 0.894777  , 0.909914  , 18        , 35.6667   , 35.8889   
    4.650, 2324.25   , 99.9999   , 29.8039   , 81.0703   , 90.2578   , 1285.9    , 1114.18   , 1103.32   , 985.195   , 57.24     , 57.0313   , 18        , 0         , 0         , 0         , -1.5      , 0.8938    , 0.903322  , 17.25     , 35.8611   , 36.75     
    4.700, 2342.25   , 99.9999   , 30.1961   , 81.0234   , 90.5391   , 1289.77   , 1114.18   , 1102.89   , 985.195   , 55.82     , 55.8594   , 18.75     , 0         , 0         , 0         , -1.5      , 0.8938    , 0.895509  , 17.25     , 36.4167   , 36.7778   
    4.750, 2341.25   , 99.9999   , 30.5882   , 81.9844   , 90.8438   , 1293.13   , 1116.84   , 1114.69   , 985.195   , 55.745    , 55.4688   , 18.75     , 0         , 0         , 0         , -1.5      , 0.893068  , 0.891115  , 17.25     , 36.6389   , 37.5      
    4.800, 2349.75   , 99.9999   , 30.5882   , 81.8438   , 91.3359   , 1299.45   , 1119.45   , 1112.58   , 985.195   , 58.595    , 58.5938   , 18        , 0         , 0         , 0         , -1.5      , 0.893068  , 0.892335  , 17.25     , 36.75     , 37.0556   
    4.850, 2362      , 99.9999   , 30.5882   , 82.4297   , 91.2656   , 1294.8    , 1122.11   , 1117.62   , 985.195   , 53.725    , 53.5156   , 17.25     , 0         , 0         , 0         , -1.5      , 0.892091  , 0.88672   , 17.25     , 37.3889   , 38.5278   
