
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 8E0909518AK_368072_NEF_STG_1_Tunedv7.ecu

ECU identified with following data:
HWNumber    = 0261208230       (requested was 0261208230)
SWNumber    = 1037368072       (requested was 1037368072)
PartNumber  = 8E0909518AK      (requested was 8E0909518AK)
SWVersion   = 0003             (requested was 0003)
EngineId    = 1.8L R4/5VT      (requested was 1.8L R4/5VT)
VAGHWNumber = 8E0909018A
ModelId     = G

Log packet size: 41 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  04.02.2026 01:49:35.056

TimeStamp, fr_w      , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot_w    , plsol_w   , pus_w     , pvdkds_w  , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , ti_b1     , vfil_w    , wdkba     , wped_w    , zwout     
    0.400, 1         , 0         , 0.851808  , 0         , 11.3889   , 1256.5    , 985.078   , 985.078   , 990.039   , 0.976565  , 0.820315  , 0.625002  , 1.05469   , 48.1641   , 100.523   , 100.617   , 47.8359   , 130       , 4.464     , 0         , 7.45098   , 0         , -9        
    0.450, 1         , 0         , 0.851808  , 0         , 11.2222   , 1253.5    , 985.078   , 985.078   , 990.039   , 0.937502  , 0.820315  , 0.60547   , 1.01563   , 48.0234   , 100.594   , 100.5     , 47.7891   , 130       , 4.436     , 0         , 7.45098   , 0         , -9        
    0.500, 1         , 0         , 0.851808  , 0         , 11.5278   , 1251.25   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.820315  , 0.60547   , 1.01563   , 48.0234   , 100.477   , 100.43    , 47.8594   , 130       , 4.452     , 0         , 7.45098   , 0         , -8.25     
    0.550, 1         , 0         , 0.851808  , 0         , 11.3333   , 1242.75   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.781252  , 0.585939  , 1.05469   , 48.0234   , 100.383   , 100.102   , 47.8828   , 130       , 4.436     , 0         , 7.45098   , 0         , -8.25     
    0.600, 1         , 0         , 0.851808  , 0         , 11.3333   , 1238.5    , 985.078   , 985.078   , 990.039   , 0.976565  , 0.781252  , 0.585939  , 1.05469   , 48.1406   , 100.078   , 99.9375   , 48.1406   , 130       , 4.52      , 0         , 7.45098   , 0         , -8.25     
    0.650, 1         , 0         , 0.851808  , 0         , 11.25     , 1231.25   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.742189  , 0.60547   , 1.09375   , 47.9531   , 99.8906   , 99.6563   , 48.2578   , 130       , 4.484     , 0         , 7.45098   , 0         , -8.25     
    0.700, 1         , 0         , 0.851808  , 0         , 11.0833   , 1229.5    , 985.078   , 985.078   , 990.039   , 0.937502  , 0.742189  , 0.60547   , 1.09375   , 47.7656   , 99.6563   , 99.5859   , 48.4453   , 135       , 4.412     , 0         , 7.45098   , 0         , -7.5      
    0.750, 1         , 0         , 0.851808  , 0         , 11.1389   , 1221.5    , 985.078   , 985.078   , 990.039   , 0.89844   , 0.781252  , 0.644533  , 1.05469   , 47.8125   , 99.5391   , 99.2813   , 48.6797   , 135       , 4.416     , 0         , 7.45098   , 0         , -6        
    0.800, 1         , 0         , 0.851808  , 0         , 11.1389   , 1222.25   , 985.078   , 985.078   , 990.039   , 0.89844   , 0.781252  , 0.644533  , 1.05469   , 47.8125   , 99.2813   , 99.3047   , 48.9141   , 135       , 4.42      , 0         , 7.45098   , 0         , -6        
    0.850, 1         , 0         , 0.851808  , 0         , 11.3889   , 1222.25   , 985.078   , 985.078   , 990.039   , 0.859377  , 0.742189  , 0.625002  , 1.09375   , 48.0234   , 99.2813   , 99.3047   , 49.0313   , 135       , 4.544     , 0         , 7.45098   , 0         , -6        
    0.900, 1         , 0         , 0.851808  , 0         , 11.5      , 1233      , 985.078   , 985.078   , 990.039   , 0.859377  , 0.742189  , 0.625002  , 1.09375   , 48.1172   , 99.3047   , 99.5625   , 48.9844   , 135       , 4.596     , 0         , 7.45098   , 0         , -6.75     
    0.950, 1         , 0         , 0.851808  , 0         , 11.4167   , 1239      , 985.078   , 985.078   , 990.039   , 0.89844   , 0.703127  , 0.60547   , 1.05469   , 48.0938   , 99.5859   , 99.8672   , 48.8203   , 135       , 4.516     , 0         , 7.45098   , 0         , -7.5      
    1.000, 1         , 0         , 0.851808  , 0         , 11.1389   , 1245.5    , 985.078   , 985.078   , 992.656   , 0.89844   , 0.703127  , 0.60547   , 1.05469   , 47.8125   , 99.8672   , 100.172   , 48.7266   , 135       , 4.344     , 0         , 7.45098   , 0         , -7.5      
    1.050, 1         , 0         , 0.851808  , 0         , 11.0556   , 1239.5    , 985.078   , 985.078   , 990.039   , 0.937502  , 0.742189  , 0.585939  , 1.05469   , 47.6953   , 100.125   , 99.9609   , 48.5859   , 135       , 4.348     , 0         , 7.45098   , 0         , -7.5      
    1.100, 1         , 0         , 0.852052  , 0         , 11.3333   , 1239.5    , 985.078   , 985.078   , 990.039   , 0.937502  , 0.742189  , 0.585939  , 1.05469   , 47.6484   , 99.9609   , 99.9609   , 48.7734   , 140       , 4.44      , 0         , 7.45098   , 0         , -7.5      
    1.150, 1         , 0         , 0.852052  , 0         , 11.1945   , 1232.75   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.781252  , 0.585939  , 1.09375   , 47.6953   , 99.9141   , 99.7031   , 48.7969   , 140       , 4.392     , 0         , 7.45098   , 0         , -6.75     
    1.200, 1         , 0         , 0.852052  , 0         , 11.3056   , 1232.75   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.781252  , 0.585939  , 1.09375   , 47.8125   , 99.7031   , 99.7031   , 49.0313   , 140       , 4.444     , 0         , 7.45098   , 0         , -6.75     
    1.250, 1         , 0         , 0.852052  , 0         , 11.3056   , 1246.5    , 985.078   , 985.078   , 990.039   , 1.01563   , 0.781252  , 0.566408  , 1.13282   , 47.7422   , 99.7266   , 100.242   , 49.0078   , 140       , 4.392     , 0         , 7.45098   , 0         , -7.5      
    1.300, 1         , 0         , 0.852052  , 0         , 11.5278   , 1247      , 985.078   , 985.078   , 990.039   , 1.01563   , 0.781252  , 0.566408  , 1.13282   , 47.8594   , 100.219   , 100.266   , 48.6797   , 145       , 4.448     , 0         , 7.45098   , 0         , -7.5      
    1.350, 1         , 0         , 0.852052  , 0         , 11.5833   , 1238.25   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.820315  , 0.585939  , 1.09375   , 48.0938   , 100.219   , 99.9141   , 48.75     , 145       , 4.524     , 0         , 7.45098   , 0         , -7.5      
    1.400, 1         , 0         , 0.852052  , 0         , 11.5278   , 1238      , 985.078   , 985.078   , 990.039   , 0.976565  , 0.820315  , 0.585939  , 1.09375   , 48.2578   , 99.9141   , 99.9141   , 48.9844   , 145       , 4.528     , 0         , 7.45098   , 0         , -7.5      
    1.450, 1         , 0         , 0.852052  , 0         , 11.6667   , 1240.75   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.859377  , 0.60547   , 1.05469   , 48.3516   , 99.9141   , 100.008   , 48.9844   , 145       , 4.576     , 0         , 7.45098   , 0         , -7.5      
    1.500, 1         , 0         , 0.852052  , 0         , 11.6111   , 1245      , 985.078   , 985.078   , 990.039   , 0.937502  , 0.859377  , 0.60547   , 1.05469   , 48.5391   , 100.008   , 100.172   , 48.8906   , 145       , 4.552     , 0         , 7.45098   , 0         , -7.5      
    1.550, 1         , 0         , 0.852052  , 0         , 11.5278   , 1253.5    , 985.078   , 985.078   , 990.039   , 0.89844   , 0.820315  , 0.60547   , 1.05469   , 48.4219   , 100.172   , 100.5     , 48.75     , 145       , 4.44      , 0         , 7.45098   , 0         , -8.25     
    1.600, 1         , 0         , 0.852052  , 0         , 11.6945   , 1250.25   , 985.078   , 985.078   , 990.039   , 0.89844   , 0.820315  , 0.60547   , 1.05469   , 48.5156   , 100.477   , 100.383   , 48.7031   , 145       , 4.516     , 0         , 7.45098   , 0         , -8.25     
    1.650, 1         , 0         , 0.852052  , 0         , 11.7222   , 1252.75   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.859377  , 0.625002  , 1.01563   , 48.4688   , 100.359   , 100.219   , 48.7969   , 145       , 4.548     , 0         , 7.45098   , 0         , -8.25     
    1.700, 1         , 0         , 0.852052  , 0         , 11.5556   , 1257.25   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.859377  , 0.625002  , 1.01563   , 48.3516   , 100.242   , 100.641   , 48.6328   , 150       , 4.444     , 0         , 7.45098   , 0         , -8.25     
    1.750, 1         , 0         , 0.852052  , 0         , 11.4722   , 1253.75   , 985.078   , 985.078   , 990.039   , 0.89844   , 0.820315  , 0.644533  , 1.05469   , 48.3281   , 100.594   , 100.523   , 48.5156   , 150       , 4.44      , 0         , 7.45098   , 0         , -8.25     
    1.800, 1         , 0         , 0.852052  , 0         , 11.4722   , 1252.25   , 985.078   , 985.078   , 990.039   , 0.89844   , 0.820315  , 0.644533  , 1.05469   , 48.2578   , 100.5     , 100.453   , 48.5625   , 150       , 4.432     , 0         , 7.45098   , 0         , -8.25     
    1.850, 1         , 0         , 0.852052  , 0         , 12.0556   , 1244.25   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.820315  , 0.625002  , 1.01563   , 48.6563   , 100.43    , 100.148   , 48.6328   , 150       , 4.732     , 0         , 7.84314   , 0         , -7.5      
    1.900, 1         , 0         , 0.852052  , 0         , 11.8333   , 1241.25   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.820315  , 0.625002  , 1.01563   , 48.7969   , 100.125   , 100.031   , 48.8906   , 150       , 4.636     , 0         , 7.84314   , 0         , -7.5      
    1.950, 1         , 0         , 0.852052  , 0         , 11.8056   , 1232.25   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.859377  , 0.60547   , 0.976565  , 49.0547   , 100.008   , 99.6797   , 48.9375   , 150       , 4.676     , 0         , 7.45098   , 0         , -8.25     
    2.000, 1         , 0         , 0.852052  , 0         , 11.3611   , 1233      , 985.078   , 985.078   , 990.039   , 0.976565  , 0.859377  , 0.60547   , 0.976565  , 48.9609   , 99.6797   , 99.7266   , 49.125    , 150       , 4.504     , 0         , 7.45098   , 0         , -7.5      
    2.050, 1         , 0         , 0.852052  , 0         , 11.3889   , 1232.25   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.820315  , 0.585939  , 1.01563   , 48.8672   , 99.7031   , 99.6797   , 49.1953   , 150       , 4.476     , 0         , 7.45098   , 0         , -7.5      
    2.100, 1         , 0         , 0.852052  , 0         , 11.4722   , 1224.25   , 985.078   , 985.078   , 992.656   , 0.937502  , 0.820315  , 0.585939  , 1.01563   , 48.8672   , 99.6328   , 99.375    , 49.4063   , 155       , 4.492     , 0         , 7.45098   , 0         , -6.75     
    2.150, 1         , 0         , 0.852052  , 0         , 11.3333   , 1228      , 985.078   , 985.078   , 990.039   , 0.89844   , 0.859377  , 0.566408  , 1.05469   , 48.9844   , 99.375    , 99.5156   , 49.5703   , 155       , 4.524     , 0         , 7.45098   , 0         , -6.75     
    2.200, 1         , 0         , 0.852052  , 0         , 11.3611   , 1233.75   , 985.078   , 985.078   , 992.656   , 0.89844   , 0.859377  , 0.566408  , 1.05469   , 48.8438   , 99.5156   , 99.75     , 49.4297   , 155       , 4.432     , 0         , 7.45098   , 0         , -7.5      
    2.250, 1         , 0         , 0.852052  , 0         , 11.6945   , 1240.25   , 985.078   , 985.078   , 992.656   , 0.820315  , 0.820315  , 0.546876  , 1.09375   , 48.9375   , 99.75     , 99.9844   , 49.4063   , 155       , 4.548     , 0         , 7.45098   , 0         , -8.25     
    2.300, 1         , 0         , 0.852052  , 0         , 11.6111   , 1239.75   , 985.078   , 985.078   , 992.656   , 0.820315  , 0.820315  , 0.546876  , 1.09375   , 48.8672   , 99.9609   , 99.9844   , 49.3359   , 160       , 4.464     , 0         , 7.45098   , 0         , -7.5      
    2.350, 1         , 0         , 0.852052  , 0         , 11.5278   , 1239      , 985.078   , 985.078   , 990.039   , 0.859377  , 0.859377  , 0.566408  , 1.09375   , 48.8906   , 100.242   , 99.9375   , 49.3594   , 160       , 4.532     , 0         , 7.45098   , 0         , -7.5      
    2.400, 1         , 0         , 0.852052  , 0         , 11.1945   , 1239.5    , 985.078   , 985.078   , 990.039   , 0.859377  , 0.859377  , 0.566408  , 1.09375   , 48.5625   , 99.9141   , 99.9141   , 49.4063   , 160       , 4.396     , 0         , 7.45098   , 0         , -7.5      
    2.450, 1         , 0         , 0.852052  , 0         , 11.3333   , 1232.75   , 985.078   , 985.078   , 990.039   , 0.820315  , 0.820315  , 0.546876  , 1.05469   , 48.375    , 99.9141   , 99.7031   , 49.4297   , 160       , 4.396     , 0         , 7.45098   , 0         , -6.75     
    2.500, 1         , 0         , 0.852052  , 0         , 11.1667   , 1227.25   , 985.078   , 985.078   , 992.656   , 0.820315  , 0.820315  , 0.546876  , 1.05469   , 48.2109   , 99.6563   , 99.6328   , 49.6641   , 160       , 4.36      , 0         , 7.45098   , 0         , -6        
    2.550, 1         , 0         , 0.852052  , 0         , 11.25     , 1231.25   , 985.078   , 985.078   , 990.039   , 0.820315  , 0.820315  , 0.566408  , 1.01563   , 48.1172   , 99.6328   , 99.6563   , 49.8281   , 160       , 4.368     , 0         , 7.45098   , 0         , -6        
    2.600, 1         , 0         , 0.852052  , 0         , 11.3611   , 1226.5    , 985.078   , 985.078   , 990.039   , 0.820315  , 0.820315  , 0.566408  , 1.01563   , 48.1875   , 99.6094   , 99.4688   , 49.8516   , 160       , 4.404     , 0         , 7.45098   , 0         , -6        
    2.650, 1         , 0         , 0.852052  , 0         , 12.3889   , 1234.5    , 985.078   , 985.078   , 990.039   , 0.859377  , 0.859377  , 0.546876  , 1.05469   , 48.8906   , 99.4922   , 99.7734   , 49.9922   , 160       , 4.872     , 0         , 7.84314   , 0         , -6.75     
    2.700, 1         , 0         , 0.852052  , 0         , 11.5833   , 1237      , 985.078   , 985.078   , 990.039   , 0.859377  , 0.859377  , 0.546876  , 1.05469   , 49.0078   , 99.75     , 99.8672   , 49.8516   , 165       , 4.544     , 0         , 7.84314   , 0         , -7.5      
    2.750, 1         , 0         , 0.852052  , 0         , 11.6667   , 1236.75   , 985.078   , 985.078   , 990.039   , 0.820315  , 0.89844   , 0.566408  , 1.01563   , 49.2422   , 99.8438   , 99.8672   , 49.8281   , 165       , 4.596     , 0         , 7.84314   , 0         , -7.5      
    2.800, 1         , 0         , 0.852052  , 0         , 12.0556   , 1234.25   , 985.078   , 985.078   , 992.656   , 0.820315  , 0.89844   , 0.566408  , 1.01563   , 49.4766   , 99.8438   , 99.7734   , 49.9688   , 165       , 4.676     , 0         , 7.84314   , 0         , -7.5      
    2.850, 1         , 0         , 0.852052  , 0         , 11.9445   , 1240      , 985.078   , 985.078   , 992.656   , 0.859377  , 0.937502  , 0.585939  , 0.976565  , 49.5938   , 99.7734   , 99.9844   , 49.9453   , 165       , 4.644     , 0         , 7.84314   , 0         , -7.5      
    2.900, 1         , 0         , 0.852052  , 0         , 11.7778   , 1244.5    , 985.078   , 985.078   , 990.039   , 0.859377  , 0.937502  , 0.585939  , 0.976565  , 49.7813   , 99.9844   , 100.148   , 49.8047   , 165       , 4.588     , 0         , 7.84314   , 0         , -7.5      
    2.950, 1         , 0         , 0.852052  , 0         , 11.8333   , 1245.75   , 985.078   , 985.078   , 990.039   , 0.89844   , 0.89844   , 0.60547   , 0.976565  , 49.7344   , 100.125   , 100.219   , 49.7813   , 165       , 4.584     , 0         , 7.84314   , 0         , -7.5      
    3.000, 1         , 0         , 0.852052  , 0         , 11.3333   , 1235.75   , 985.078   , 985.078   , 992.656   , 0.89844   , 0.89844   , 0.60547   , 0.976565  , 49.3125   , 100.172   , 99.8203   , 49.8984   , 165       , 4.416     , 0         , 7.84314   , 0         , -7.5      
    3.050, 1         , 0         , 0.852052  , 0         , 11.3889   , 1236.75   , 985.078   , 985.078   , 990.039   , 0.859377  , 0.937502  , 0.585939  , 1.01563   , 49.125    , 99.8203   , 99.8672   , 50.0391   , 165       , 4.44      , 0         , 7.84314   , 0         , -7.5      
    3.100, 1         , 0         , 0.852052  , 0         , 11.75     , 1242.5    , 985.078   , 985.078   , 990.039   , 0.859377  , 0.937502  , 0.585939  , 1.01563   , 49.1953   , 99.8672   , 100.078   , 49.9688   , 170       , 4.464     , 0         , 7.84314   , 0         , -7.5      
    3.150, 1         , 0         , 0.852052  , 0         , 11.6111   , 1246.75   , 985.078   , 985.078   , 992.656   , 0.89844   , 0.89844   , 0.60547   , 1.05469   , 48.8672   , 100.078   , 100.195   , 49.8984   , 170       , 4.396     , 0         , 7.84314   , 0         , -6.75     
    3.200, 1         , 0         , 0.852052  , 0         , 11.6389   , 1252      , 985.078   , 985.078   , 992.656   , 0.89844   , 0.89844   , 0.60547   , 1.05469   , 48.9844   , 100.195   , 100.453   , 49.8047   , 170       , 4.392     , 0         , 7.84314   , 0         , -7.5      
    3.250, 1         , 0         , 0.852052  , 0         , 12.0556   , 1248.75   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.937502  , 0.585939  , 1.05469   , 49.2891   , 100.43    , 100.313   , 49.6875   , 170       , 4.628     , 0         , 7.84314   , 0         , -7.5      
    3.300, 1         , 0         , 0.852052  , 0         , 11.7778   , 1257.75   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.937502  , 0.585939  , 1.05469   , 49.2422   , 100.336   , 100.664   , 49.7578   , 175       , 4.496     , 0         , 7.84314   , 0         , -7.5      
    3.350, 1         , 0         , 0.852052  , 0         , 11.8333   , 1257.5    , 985.078   , 985.078   , 992.656   , 0.976565  , 0.89844   , 0.566408  , 1.01563   , 49.0781   , 100.641   , 100.664   , 49.5234   , 175       , 4.436     , 0         , 7.84314   , 0         , -7.5      
    3.400, 1         , 0         , 0.852052  , 0         , 11.8611   , 1255.25   , 985.078   , 985.078   , 992.656   , 0.976565  , 0.89844   , 0.566408  , 1.01563   , 49.2422   , 100.641   , 100.57    , 49.5      , 175       , 4.468     , 0         , 7.84314   , 0         , -7.5      
    3.450, 1         , 0         , 0.852052  , 0         , 12        , 1258.75   , 985.078   , 985.078   , 990.039   , 0.937502  , 0.937502  , 0.585939  , 1.01563   , 49.3125   , 100.57    , 100.711   , 49.5      , 175       , 4.568     , 0         , 7.84314   , 0         , -8.25     
    3.500, 1         , 0         , 0.852052  , 0         , 11.9445   , 1264      , 985.078   , 985.078   , 990.039   , 0.937502  , 0.937502  , 0.585939  , 1.01563   , 49.4531   , 100.711   , 100.922   , 49.3359   , 175       , 4.512     , 0         , 7.84314   , 0         , -8.25     
    3.550, 1         , 0         , 0.852052  , 0         , 11.8056   , 1267.25   , 985.078   , 985.078   , 992.656   , 0.976565  , 0.937502  , 0.566408  , 0.976565  , 49.1953   , 100.922   , 101.039   , 49.1953   , 175       , 4.38      , 0         , 7.84314   , 0         , -9        
    3.600, 1         , 0         , 0.852052  , 0         , 11.8333   , 1257.25   , 985.078   , 985.078   , 990.039   , 0.976565  , 0.937502  , 0.566408  , 0.976565  , 49.3125   , 100.992   , 100.641   , 49.1484   , 175       , 4.472     , 0         , 7.84314   , 0         , -8.25     
    3.650, 1         , 0         , 0.852052  , 0         , 11.8889   , 1252.75   , 985.078   , 985.078   , 992.656   , 1.01563   , 0.976565  , 0.585939  , 0.937502  , 49.3125   , 100.617   , 100.477   , 49.3125   , 175       , 4.42      , 0         , 7.84314   , 0         , -8.25     
    3.700, 1         , 0         , 0.852052  , 0         , 12.1389   , 1258.75   , 985.078   , 985.078   , 992.656   , 1.01563   , 0.976565  , 0.585939  , 0.937502  , 49.1953   , 100.477   , 100.734   , 49.2188   , 180       , 4.52      , 0         , 7.84314   , 0         , -8.25     
    3.750, 1         , 0         , 0.852052  , 0         , 11.9722   , 1261.75   , 985.078   , 985.078   , 992.656   , 1.05469   , 0.937502  , 0.60547   , 0.976565  , 49.2891   , 100.734   , 100.828   , 49.1484   , 180       , 4.46      , 0         , 7.84314   , 0         , -8.25     
    3.800, 1         , 0         , 0.852052  , 0         , 11.4167   , 1264.25   , 985.078   , 985.078   , 992.656   , 1.05469   , 0.937502  , 0.60547   , 0.976565  , 48.9141   , 100.828   , 100.922   , 48.9844   , 180       , 4.32      , 0         , 7.84314   , 0         , -9        
    3.850, 1         , 0         , 0.852052  , 0         , 11.4722   , 1256      , 985.078   , 985.078   , 992.656   , 1.01563   , 0.89844   , 0.585939  , 0.976565  , 48.7266   , 100.875   , 100.594   , 48.8906   , 180       , 4.328     , 0         , 7.84314   , 0         , -8.25     
    3.900, 1         , 0         , 0.852052  , 0         , 11.6667   , 1254      , 985.078   , 985.078   , 992.656   , 1.01563   , 0.89844   , 0.585939  , 0.976565  , 48.8672   , 100.57    , 100.523   , 49.0547   , 180       , 4.384     , 0         , 7.84314   , 0         , -8.25     
    3.950, 1         , 0         , 0.852052  , 0         , 11.5      , 1254.25   , 985.078   , 985.078   , 992.656   , 1.05469   , 0.859377  , 0.566408  , 0.937502  , 48.7969   , 100.523   , 100.523   , 49.0781   , 180       , 4.332     , 0         , 7.84314   , 0         , -8.25     
    4.000, 1         , 0         , 0.852052  , 0         , 11.75     , 1254.25   , 985.078   , 985.078   , 990.039   , 1.05469   , 0.859377  , 0.566408  , 0.937502  , 48.9141   , 100.5     , 100.523   , 49.0078   , 180       , 4.464     , 0         , 7.84314   , 0         , -8.25     
    4.050, 1         , 0         , 0.852052  , 0         , 11.7778   , 1247.75   , 985.078   , 985.078   , 992.656   , 1.01563   , 0.859377  , 0.566408  , 0.937502  , 48.9141   , 100.5     , 100.289   , 49.0078   , 180       , 4.44      , 0         , 7.84314   , 0         , -7.5      
    4.100, 1         , 0         , 0.852052  , 0         , 11.2778   , 1253      , 985.078   , 985.078   , 992.656   , 1.01563   , 0.859377  , 0.566408  , 0.937502  , 48.7734   , 100.289   , 100.477   , 49.125    , 185       , 4.28      , 0         , 7.45098   , 0         , -8.25     
    4.150, 1         , 0         , 0.852052  , 0         , 10.6667   , 1247.75   , 985.078   , 985.078   , 992.656   , 1.05469   , 0.820315  , 0.566408  , 0.937502  , 47.9766   , 100.453   , 100.289   , 48.9844   , 185       , 4.18      , 0         , 7.45098   , 0         , -7.5      
    4.200, 1         , 0         , 0.852052  , 0         , 11.0556   , 1257.75   , 985.078   , 985.078   , 990.039   , 1.05469   , 0.820315  , 0.566408  , 0.937502  , 47.6719   , 100.289   , 100.664   , 48.9609   , 185       , 4.184     , 0         , 7.45098   , 0         , -7.5      
    4.250, 1         , 0         , 0.852052  , 0         , 10.8333   , 1257.75   , 985.078   , 985.078   , 992.656   , 1.01563   , 0.781252  , 0.546876  , 0.937502  , 46.9688   , 100.664   , 100.898   , 48.6797   , 185       , 4.108     , 0         , 7.45098   , 0         , -7.5      
    4.300, 1         , 0         , 0.852052  , 0         , 10.75     , 1250.5    , 985.078   , 985.078   , 992.656   , 1.01563   , 0.781252  , 0.546876  , 0.937502  , 46.6406   , 100.852   , 100.477   , 48.7734   , 185       , 4.092     , 0         , 7.45098   , 0         , -6.75     
    4.350, 1         , 0         , 0.852052  , 0         , 11.4445   , 1248      , 985.078   , 985.078   , 992.656   , 1.01563   , 0.742189  , 0.566408  , 0.976565  , 46.7344   , 100.453   , 100.289   , 48.9141   , 185       , 4.168     , 0         , 7.84314   , 0         , -6        
    4.400, 1         , 0         , 0.852052  , 0         , 11.3333   , 1252.75   , 985.078   , 985.078   , 992.656   , 1.01563   , 0.742189  , 0.566408  , 0.976565  , 47.0156   , 100.289   , 100.477   , 48.9609   , 185       , 4.152     , 0         , 7.84314   , 0         , -6.75     
    4.450, 1         , 0         , 0.852052  , 0         , 11.6111   , 1256.5    , 985.078   , 985.078   , 992.656   , 0.976565  , 0.781252  , 0.546876  , 0.976565  , 47.2969   , 100.453   , 100.617   , 48.8438   , 185       , 4.196     , 0         , 7.84314   , 0         , -7.5      
